Mes,Turno,No_Colada,GPO_CH,TCM,No_Cargas,C_Arrabio,C_Primeras,C_Segundas,C_Triturado,C_Retornos,Cumpl_CM,Cons_Chorreadura,Cons_Ri,Rendimiento_Teo,Altura_Banda,Tiempo_Caida_Banda,TPQB,Rendimiento_Real,ENERGÍA,CONSUMO_C,O2_INSTANTANEO,O2_TCM,CONSUMO_CAL_SIDER,CONSUMO_CAL_DOLOM,BALANCE_02_C,VAC_TO_VAC,COBERTURA_DE_ARCO,POWER_ON,AUXILIARES,DEMORAS,POTENCIA,FACTOR_O2,VELOCIDAD_DE_FUSIÓN,TIEMPO_VACIADO,REMANENTE_HF,ACERO_VACIADO,O2_VACIADA,TON_Hr_ACERO LIQUIDO,TEMPERATURA_VACIADO,MgO_ESCORIA,FeO_ESCORIA,CaO,SiO2,Al2O3,IB3,IB4,RESULTADO,coladas ,TEMPERATURA
Marzo,1,48224,5,170.5,1,0,0,52.72727273,38.70967742,8.563049853,97.84688437,6.33431085,0,88.0516129,0,27,151.52384,88.87,368.914956,5.653958944,143,27.3313783,16.01173021,18.24046921,4.834024896,45.86666489,86.69186352,32.56666565,5.44999981,7.85000038,118.7414856,3.26493,5235.414698,3.7,61,146,763,190.9883795,1624,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,32.88,48224,769
Marzo,1,48225,5,176.8999939,1,0,0,53.92877332,39.68343697,6.387789712,95.09466098,6.105144149,0,87.90050876,0,28,151.52384,85.66,383.2673959,7.778406147,146,28.75070761,14.92368621,18.14584574,3.69622093,48.98332977,86.60603865,34.71666718,7.03333282,7.23333168,117.7424011,2.604548,5095.535035,3.8,75,147,1135,180.0612584,1670,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,54.18,48225,798
Marzo,2,48226,5,144.6000061,1,0,0,52.62793914,44.53665284,2.835408022,83.64494564,7.814661134,0,86.9944675,0,24,138.46144,95.75,374.1355306,17.43430079,169,32.10234996,18.18810435,21.23098112,1.841332804,100.0833283,82.94582701,27.36666489,5.53333282,67.18333435,118.0363617,2.617081,5283.80081,3.7,0,147,1378,88.12656568,1686,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,31.88,48226,772
Marzo,2,48227,3B,190.699997,3,0,44.7823807,21.34242265,32.19716833,1.678028317,73.33300127,0,36.75930781,91.87834295,0,1,142.60851,74.78,416.8851666,12.64813864,99,27.46198261,15.04981671,17.14735214,2.171227197,65.83332825,44.5999185,52.3833313,8.14999866,5.29999924,92.95224762,1.502616,3640.470971,2.8,53,143,1224,130.329124,1677,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,11.91,48227,634
Marzo,2,48228,3B,189.3000031,3,0,45.00792393,22.23983096,30.11093502,2.64131009,77.9191812,0,37.24247227,91.95773904,0,1,127.88218,67.56,404.1204372,14.27892212,86,22.73111427,15.10829347,17.32699391,1.591934887,60.83332825,49.22262009,49.89999771,9.14999676,1.78333294,95.79129791,2.376899,3793.58741,2.6,81,142,733,140.0548062,1619,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,15.96,48228,606
Marzo,2,48229,3B,180,Hibrida,0,35.24444444,34.16111111,22.72777778,7.866666667,89.22065342,5.388888889,19.37777778,90.81994444,0,25,150.18765,83.44,388.8888889,17.26666667,161,33.91111111,14.05555556,14.94444444,1.963963964,57.14999771,73.98421646,37.78333282,18.35000038,1.01666605,113.4113464,2.042431,4764.005358,5,105,147,950,154.3307148,1652,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,18.07,48229,670
Marzo,2,48230,3B,160.1799927,1,0,35.20414534,31.7642652,24.84704707,8.18454239,91.24553342,6.829816456,13.85316519,90.60956424,0,31,153.36712,95.75,433.2625994,20.66425366,148,33.63715973,15.42015303,14.79585534,1.627794562,45.71666336,83.43791523,36.28333282,7.39999914,2.03333187,114.3955994,0.739878,4414.698988,5,122,146,961,191.6150339,1653,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,30.91,48230,790
Marzo,1,48231,3B,171.8600006,Hibrida,0,39.82893052,27.17328058,23.99627604,9.001512859,87.36366884,7.040614454,19.31223089,90.86302805,0,19,147.64455,85.91,352.6125904,14.93075754,136,29.21564053,14.60491092,15.65227505,1.956742011,291.9666748,68.18869123,36.84999847,8.69999886,246.4166718,110.8536606,3.612359,4663.772259,5,122,146,888,30.00342421,1645,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,57.57,48231,800
Marzo,1,48232,3B,169.25,1,0,33.97341211,25.96750369,30.605613,9.453471196,92.30660541,7.0605613,10.75332349,90.30369276,0,26,150.92554,89.17,376.366322,10.16248154,140,28.53175775,14.18020679,14.00295421,2.80755814,48.46666336,77.30247525,34.28333282,6.63333273,7.54999876,113.132721,2.866408,4936.801241,4.8,120,147,801,181.9807552,1640,9.91,31.28,30.89,10.08,5.49,1.9839,2.62,38.41,48232,744
Marzo,1,48233,3B,166.9700012,1,0,37.19231,24.38761454,30.60430017,7.815775289,92.61997243,7.127028808,13.11612865,90.40642032,0,24,154.20653,92.36,344.3732382,11.49308251,134,24.78888405,14.4936215,14.19416651,2.156852527,39.5166626,83.33208333,30.84999847,5.81666565,2.84999895,114.8086472,4.589829,5412.317974,4,122,148,682,224.7153331,1632,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,59.59,48233,740
Marzo,1,48234,3B,169.0299988,1,0,39.69709519,21.78903153,29.81719221,8.696681063,88.13285852,7.513459149,15.20440159,90.63030231,0,25,154.20653,91.23,352.0085217,12.72555177,140,26.01905006,14.37614635,14.02117977,2.044630404,42.0166626,81.42519894,31.39999771,6.03333282,4.58333206,113.2733841,4.079375,5383.121373,4.2,129,149,886,212.7727298,1688,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,59.59,48234,742
Marzo,1,48235,3B,170.5700073,1,0,33.59324617,33.07146626,25.12751363,8.207773934,91.10718579,7.099724453,13.01518438,90.22254793,0,26,154.20653,90.41,340.6226037,12.59306975,135,25.831036,14.30497681,13.89458814,2.051210428,47.3833313,81.24444444,32.6333313,13.53333282,1.21666598,108.8807755,4.549852,5226.864697,4,115,147,614,186.1414079,1634,10.14,27.67,32.68,9.24,6.64,2.0579,2.7,50.71,48235,648
Marzo,1,48236,3B,172.699997,1,0,37.29009844,30.68905617,22.87203243,9.14881297,87.68520227,7.180081065,13.43370006,90.51997684,0,25,150.92554,87.39,334.105391,12.0729591,137,24.6323108,14.3022585,13.7232197,2.04028777,41.86666107,85.03243243,30.86666489,6.11666584,4.88333178,111.9181137,5.035849,5595.032621,4.3,116,146,829,209.2356968,1665,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,73.34,48236,640
Marzo,1,48237,3B,172.3699951,Hibrida,0,39.09032894,39.04391715,19.429135,2.436618901,72.16519883,5.917503046,15.36230202,90.2094332,0,21,147.64455,85.66,320.8214977,13.51163234,157,27.99791226,14.67772856,15.60596436,2.072133963,40.6333313,68.49836957,30.61666679,8.41666508,1.60000002,108.1956406,4.904955,5629.939938,3.9,116,147,713,217.0631774,1648,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,70.68,48237,638
Marzo,1,48238,3B,174.6100006,1,0,35.56497337,32.74153829,24.56903957,7.124448772,92.864439,6.68346601,15.11940897,90.33789588,0,26,154.20653,88.31,351.0680934,13.722009,135,27.06603278,13.7449172,13.57310573,1.97245409,43.71666336,82.4608209,34.81666565,6.6833334,2.21666598,109.5186234,3.95632,5015.127019,5,114,148,775,203.1262067,1660,10.34,26.87,32.37,9.98,6.77,1.9325,2.55,50.71,48238,709
Marzo,1,48239,3B,173.6199951,1,0,32.65752793,31.80509158,28.1073609,7.430019583,95.02710566,7.153553738,14.28406866,90.12417924,0,25,147.64455,85.04,342.7024633,12.65983217,137,25.56733167,14.226472,13.65050148,2.019563239,40.40000153,84.78478544,32.18333435,6.66666603,1.54999995,111.3884506,4.515431,5394.717441,3.9,110,148,766,219.8019719,1632,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,56.87,48239,894
Marzo,1,48240,3B,171.2599945,1,0,29.77928296,36.12051851,29.1369847,4.963213827,87.17984799,6.960177508,8.641831134,89.36879598,0,23,154.20653,90.04,321.7330478,11.33948419,134,22.90669231,14.42251594,13.83860841,2.020082389,38.43333054,85.73851641,29.1333313,5.63333321,3.66666603,113.0256424,5.955331,5878.489924,3.8,110,148,651,231.049453,1634,10,32.88,28.6,8.76,6.86,1.831,2.47,94.4,48240,733
Marzo,1,48241,3B,170.2100067,1,0,35.07431996,29.55173022,30.78550026,4.588449562,91.61355463,7.108865519,11.69143999,89.99447741,0,27,154.20653,90.6,355.4432619,13.08971219,138,26.6553071,14.15897953,13.92397572,2.036355476,80.83332825,80.72290076,32.7666626,5.66666603,42.39999771,110.3902512,3.853144,5194.609191,3.9,106,147,608,109.1134089,1613,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,56.87,48241,578
Marzo,1,48242,3B,170.6399994,1,0,30.35630567,30.67276137,31.17674637,7.794186592,93.97315388,7.466010314,10.25550867,89.90342241,0,24,150.92554,88.45,352.2034706,12.66408818,139,25.96108776,14.24050638,13.88888894,2.049976863,38.1333313,82.30603675,31.79999924,1.79999995,4.53333282,113.2182007,4.080974,5366.037845,0,103,147,556,231.2937186,1604,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,56.87,48242,760
Marzo,1,48243,3B,170.1399994,1,0,33.03162102,30.25155754,25.97860585,10.73821559,88.95955031,7.270483132,11.34359939,90.34077818,0,28,150.92554,88.71,363.8180335,13.01281302,140,27.00717066,14.57623139,13.929705,2.075429088,45.2666626,85.78278061,32.68333054,3.13333297,9.44999886,113.1741867,3.492848,5205.711798,3.1,103,147,843,194.8453783,1638,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,36.17,48243,802
Marzo,1,48244,3B,170.2899933,Hibrida,0,36.39673498,39.17434964,23.371895,1.057020377,72.08992243,6.171824535,15.5147102,90.03077104,0,24,150.92554,88.63,317.6933592,13.01896816,154,26.83657396,15.150626,15.79658292,2.061344159,40.66666412,66.99830986,29.53333282,7.33333302,3.79999924,109.538826,5.233776,5766.026961,3.3,115,151,732,222.7868992,1631,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,51.77,48244,716
Marzo,1,48245,3B,171.0299988,1,0,34.43840262,33.34502719,25.55107291,6.665497281,93.21762348,7.326200082,12.62936327,90.1195112,0,24,160.76851,94,320.411626,11.0857745,133,23.00765964,14.1495645,13.85721813,2.075421941,35.68333435,81.89813218,29.45000076,5.16666603,1.06666601,113.2491455,5.986631,5807.470097,3.4,105,149,626,250.537125,1628,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,73.34,48245,749
Marzo,2,48246,3B,166.8399963,1,0,36.63989451,30.64013426,22.99208823,9.727883002,87.20810564,7.624070966,14.54687125,90.73507552,0,24,147.64455,88.49,344.0422037,12.04747089,138,25.28770135,14.80460354,14.20522688,2.099004975,43.53333282,74.70123288,30.44999886,5.14999962,7.93333292,112.9180298,4.512383,5479.146226,3.3,100,149,722,205.3598799,1622,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,41.1,48246,755
Marzo,2,48247,3B,170.5200043,1,0,34.7525217,29.94956603,25.92657753,9.371334741,91.15637435,7.266009852,12.97208539,90.62696458,0,32,111.55366,65.42,365.3530286,13.61717067,141,29.08163192,14.71968061,13.89866257,2.135658915,49.98332977,50.58517618,35.06666565,5.05000019,9.86666584,108.926651,3.190913,4862.737905,3.3,107,152,719,182.4608333,1606,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,29.53,48247,609
Marzo,2,48248,3B,169.7799988,Hibrida,0,39.75733302,32.45965367,18.97161032,8.811402992,83.5083419,7.515608434,20.19672517,90.93244198,0,31,193.57841,114.02,414.0652639,18.17646379,164,37.41312313,14.78383801,15.84403357,2.058327933,50.58333206,63.00193548,38.70000076,6.36666584,5.51666594,108.8516159,1.178322,4387.079986,3.2,117,148,1102,175.551899,1644,7.73,39.3,29.89,7.39,4.2,2.5789,3.25,7.8,48248,937
Marzo,2,48249,3B,166.6300049,1,0,33.00126028,29.88657505,28.81233871,8.299825962,94.89526225,7.723699214,12.8068175,90.41595151,0,28,154.35911,92.64,349.8769627,14.14511151,139,25.46960257,14.82326068,14.52319468,1.800593975,38.56666565,84.55354223,30.51666641,4.56666565,3.48333311,114.37603,4.251068,5460.295127,2.8,118,151,784,234.9178973,1619,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,59.59,48249,791
Marzo,2,48250,3B,168.0800018,1,0,30.83055688,30.27724893,29.05759162,9.83460257,90.89909803,7.413136602,14.53474536,90.47655878,0,29,148.7889,88.52,361.1375496,15.74845295,138,27.42146567,14.45740108,14.10042821,1.741216471,51.18333054,81.36735219,33.31666565,17.86666489,0,112.1765747,3.537828,5044.92267,4.8,117,147,723,172.3217287,1616,8.7,34.89,27.79,10.17,5.08,1.8223,2.39,60.95,48250,702
Marzo,2,48251,3B,167.8500061,1,0,34.81680071,33.48823354,23.28269288,8.412272863,89.01446345,7.405421507,13.46440274,90.5235627,0,26,145.48248,86.67,324.6946561,12.31456613,138,24.25975485,14.59636527,14.11974926,1.970004838,40.04999924,82.25756719,29.31666565,6.80000019,3.93333197,111.0985413,5.5011,5725.412573,5,110,148,596,221.7228506,1652,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,76.06,48251,650
Marzo,2,48252,3B,156.5299988,1,0,36.44668754,31.04836134,22.64102728,9.863923848,86.62507614,8.854532677,15.15364467,90.61994506,0,30,132.2568,84.49,406.3118923,16.71883997,138,31.01003027,15.39640975,15.46029527,1.854795567,45.1166687,82.09720535,35.13333511,7.76666594,2.21666598,111.1996002,1.671656,4455.312833,5,115,147,630,195.4931571,1632,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,54.57,48252,839
Marzo,2,48253,5,150.4900055,Hibrida,0,10.16678849,55.81101734,22.10778125,11.91441292,64.41580554,6.339291647,0,89.15030899,0,27,145.48248,96.67,404.013541,20.50634519,152,36.69346667,17.47624363,20.59937462,1.789371355,75.25,68.56666667,36.26666641,8.16666603,30.81666565,108.4100952,1.47537,4149.540622,5,113,148,677,118.0066445,1647,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,2.69,48253,968
Marzo,2,48254,5,155.2100067,1,0,0,49.96456414,39.70105019,10.33438567,93.13075882,6.391340764,0,88.58462728,0,26,115.7247,74.56,355.6471723,10.34727099,168,31.47348617,16.81592608,20.16622553,3.041718555,41.1333313,84.67659884,29.03333282,6.80000019,5.29999924,115.5348663,3.256799,5345.924551,5,112,149,614,217.3419881,1616,10.23,26.07,34.66,13,8.22,1.6334,2.12,54.6,48254,932
Marzo,2,48255,5,150.8999939,1,0,0,54.32736912,35.79854208,9.874088801,94.92484758,6.653412856,0,88.48257124,0,31,145.48248,96.41,400.2650924,15.93108083,163,35.30152562,17.36249242,20.34459989,2.215890183,49.93333435,79.81955086,32.48333359,6.49999905,10.95000076,114.6230698,1.639728,4645.458985,4.7,109,149,614,179.0387146,1651,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,13.39,48255,951
Marzo,2,48256,5,163.5299988,1,0,0,51.56851954,39.36892313,9.062557329,96.05907904,6.744939766,0,88.44419984,0,31,191.77236,117.27,376.6892953,10.36507071,151,31.2358591,14.98196061,14.24815029,3.013569322,45.98332977,82.62674271,33.66666412,7.73333263,4.58333206,112.340416,2.607922,4857.327064,5,122,149,540,194.4182826,1624,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,58.8,48256,928
Marzo,2,48257,5,160.0299988,Hibrida,0,0,71.26163844,26.42629507,2.312066488,74.84416172,5.936386927,0,87.949322,0,27,148.7889,92.98,361.8071639,12.84134235,167,32.80634906,16.24695382,19.30887973,2.554744526,75.43333435,65.10291005,31.36666489,6.58333302,37.48333359,109.9947357,2.936713,5101.913109,3.4,120,145,718,115.3336264,1623,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,6.44,48257,908
Marzo,2,48258,5,148.6699982,1,0,0,57.97403646,31.8692406,10.15672294,91.155426,7.38548463,0,88.45994484,0,23,145.48248,97.86,362.5479294,10.39887011,160,29.6562861,17.9592388,20.64976147,2.851875809,35.11666489,84.96287879,27.48333168,5.06666565,2.56666613,117.457634,3.223669,5409.460538,3.3,106,148,562,252.8713939,1614,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,71.49,48258,875
Marzo,2,48259,5,149.7599945,Hibrida,0,0,61.7721688,26.79620726,11.43162393,85.58313044,6.810897436,0,88.50140224,0,22,142.17606,94.94,415.9989469,12.57345132,150,34.28151835,17.62820577,20.63301358,2.726500266,44.86666489,69.3586165,34.16666794,6.23333216,4.46666527,108.7681961,1.229556,4383.219188,2.9,112,138,1093,184.5468127,1682,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,28.83,48259,1025
Marzo,1,48260,5,167.4100037,Hibrida,0,23.11689863,38.83877905,30.4462099,7.598112419,69.40433503,6.749895466,13.97765964,89.59942656,0,26,152.09532,90.85,353.0254985,15.01105039,138,27.62678394,15.76966694,18.45767835,1.840429765,83.06665802,61.05747126,33.48332977,5.71666622,43.86666489,108.2197266,3.805166,4999.801537,3.2,112,152,518,109.7913437,1626,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,33.76,48260,1007
Marzo,1,48261,5,167.0800018,Hibrida,0,0,61.69499641,30.28489346,8.020110127,93.39473984,7.60114915,0,87.8814939,0,26,152.09532,91.03,380.0574533,17.23126627,136,29.85396185,15.62125911,18.49413434,1.732546023,46,61.16367925,36.43333435,6.79999781,2.76666594,107.6271133,2.615818,4585.910261,2.8,108,151,696,196.9565217,1648,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,31.07,48261,967
Marzo,1,48262,5,174.5500031,Hibrida,0,0,68.20395302,26.41077055,5.385276425,83.19845592,4.812374678,0,87.94958465,0,27,158.70816,90.92,344.3139441,15.9610424,178,34.41993638,15.01002552,17.64537351,2.15649677,56.3999939,61.79019851,33.58333206,6.68333197,16.1333313,106.8444443,3.30727,5197.518898,3,108,150,886,159.5744853,1669,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,11.91,48262,1004
Marzo,1,48263,5,167.9400024,Hibrida,0,0,60.87888532,30.07026319,9.050851495,91.24448989,7.103727522,0,88.01369537,0,36,148.7889,88.6,357.2704485,17.5241155,134,27.55150609,15.54126451,18.3994281,1.572205233,62.78332901,61.2983891,34.36666489,23.54999924,4.86666584,106.2469101,3.661489,4886.712254,5,97,147,515,140.4831528,1637,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,37.81,48263,972
Marzo,1,48264,5,169.9299927,Hibrida,0,34.60248338,43.74154063,21.65597599,0,47.59845271,7.438356971,6.885188019,89.47001707,0,27,112.41828,66.16,381.3335067,18.10745679,137,29.51803811,15.65350506,18.18395888,1.630159246,57.34999466,58.45291429,36.53333282,14.29999828,6.51666498,106.1328278,2.602357,4651.368478,0.4,107,146,376,152.7463089,1627,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,24.63,48264,912
Marzo,1,48265,5,171.4199982,Hibrida,0,40.9520476,35.71345234,13.82569128,9.508808774,57.33038726,6.988682767,19.13429005,90.52374285,0,28,148.7889,86.8,330.1831794,14.28071419,153,28.613931,14.64239894,15.69245146,2.003676471,46.33333206,64.04790026,32,8.56666565,5.76666498,109.7253571,4.472185,5356.874943,5,112,145,871,187.7697893,1666,9.67,31.28,31.66,9.64,4.96,2.1685,2.83,69.78,48265,344
Marzo,1,48266,3B,167.199997,Hibrida,0,38.39712919,34.03110048,18.77990431,8.791866029,83.19663679,7.59569378,15.66985646,90.56339713,0,23,175.24026,104.81,336.7224942,20.66387598,156,29.46172303,15.19138784,16.08851704,1.425759768,45.56666183,64.38990579,31.39999771,8.51666546,5.64999771,106.1151886,4.121534,5324.841056,5,115,146,540,192.2458141,1629,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,88.63,48266,830
